queue_length,farmers_ahead,active_counters,total_counters,average_processing_time,quantity,crop_type,centre_capacity,historical_load,time_of_day,day_of_week,wait_time
43,17,2,6,4.577772582044058,391,Maize,106,92,15.551866509300353,0,55.903581470113444
56,20,4,5,9.62766274487736,251,Rice,66,49,16.2357786046919,5,61.34586735244328
33,35,4,5,7.0883821324584835,298,Sugarcane,101,28,14.205004605193377,0,61.40647452368176
19,39,2,6,6.614019115026998,298,Maize,107,82,13.287749083964787,0,140.13259784870098
47,21,3,4,5.012177372028855,913,Cotton,125,59,15.21578004790515,1,50.57362909816514
12,29,5,6,5.8120292435591665,786,Wheat,152,26,8.357628788062204,4,31.484418141680187
25,29,2,6,5.861641671512989,552,Wheat,75,99,8.614005256033966,1,100.78115257435577
43,7,4,6,11.881633718986425,881,Maize,76,51,14.872734885761837,0,25.507333482546663
23,33,1,5,10.682795036067947,279,Wheat,73,80,11.35069964587058,4,361.6581904782396
27,8,4,5,4.122098333067453,317,Cotton,130,79,12.888343564482746,3,12.275035325712139
15,19,5,6,8.934692726147837,729,Cotton,188,70,15.819925636599102,1,34.246159492305466
15,39,4,5,6.04728077137539,917,Maize,135,59,13.771579084069339,2,58.72129787603237
28,24,5,6,4.835015430556674,932,Cotton,185,98,16.05261874663058,6,32.431061673378274
57,18,2,4,9.644798104958038,944,Wheat,81,30,12.191552421706435,2,102.84072675704365
40,4,4,5,5.052844395746794,419,Maize,78,92,10.874233529715447,2,19.56475963522363
44,10,3,2,7.549926236237885,122,Wheat,155,35,10.348369088838687,1,37.37976249331027
28,14,3,5,9.057321318719394,736,Cotton,145,44,9.316809510731971,3,43.05015330827884
7,7,4,4,8.43595804923991,183,Cotton,170,51,8.367965222739583,4,16.53573179270999
26,18,4,4,11.821032786421943,810,Sugarcane,153,93,8.531490156834046,1,61.10820269129674
57,22,1,5,10.28594090498018,425,Rice,182,29,10.709988271328143,1,247.06644887351052
6,26,4,3,10.193547009019918,798,Rice,190,76,10.7841259434457,1,63.12513882096917
28,39,1,6,6.84476315264825,428,Maize,177,60,11.817845290332107,4,281.07803043577627
48,31,1,6,4.067163936673134,703,Wheat,138,84,13.916173712395056,3,147.12433961170947
34,25,1,4,9.875287437365508,429,Rice,91,51,15.592995351320607,6,264.7897537858279
42,26,1,5,11.99785667436538,793,Maize,59,67,9.977050080587572,1,329.72801687097717
6,18,2,3,7.247032861948925,838,Cotton,75,73,15.592481765989891,5,73.09774888270528
25,28,3,2,11.884147991656938,810,Rice,125,94,9.389895277913677,0,116.81344484152714
37,38,1,6,5.133664876274771,572,Wheat,88,60,17.88693620689873,4,210.21873731153718
16,32,3,3,6.372098813093739,577,Sugarcane,101,80,10.850337830826135,5,72.41489857452831
26,18,1,6,5.365815453939765,334,Sugarcane,172,26,16.373350147041492,3,103.9236158548706
